Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
JUCY,137,100,23.53,1,8.44,23.33,137,0
XDSQ,137,0,0.00,0,0.00,30.21,137,0
RMIF,135,0,0.00,0,0.00,25.10,135,0
CAOS,132,0,0.00,0,0.00,83.46,132,0
GOCT,132,0,0.00,0,0.00,33.35,132,0
FRNW,129,1,28.28,50,13.88,14.13,129,0
APRJ,128,0,0.00,0,0.00,24.50,128,0
XBJL,126,0,0.00,0,0.00,31.79,126,0
FEBZ,124,0,0.00,0,0.00,31.74,124,0
TTAC,124,0,0.00,0,0.00,58.31,124,0
SHAG,121,0,0.00,0,0.00,46.64,121,0
SEIQ,120,0,0.00,0,0.00,30.95,120,0
LQDI,116,28,26.69,433,23.10,25.45,116,0
XFEB,115,0,0.00,0,0.00,30.27,115,0
AJAN,110,100,27.60,0,0.00,24.67,110,0
NOVZ,110,0,0.00,0,0.00,36.46,110,0
SNOV,110,0,0.00,0,0.00,21.26,110,0
NJUL,107,1,57.20,0,0.00,57.07,107,0
BEMB,106,0,0.00,0,0.00,51.14,106,0
IVVB,106,0,0.00,0,0.00,26.97,106,0
BJUN,102,0,0.00,0,0.00,37.40,102,0
MVAL,102,0,0.00,0,0.00,29.60,102,0
QTJL,102,0,0.00,0,0.00,29.27,102,0
XVOL,102,0,0.00,0,0.00,19.97,102,0
XJUN,101,0,0.00,0,0.00,36.28,101,0
XNOV,101,0,0.00,0,0.00,32.27,101,0
BDEC,100,0,0.00,0,0.00,40.03,100,0
DJUN,100,0,0.00,0,0.00,39.80,100,0
EUDV,100,0,0.00,0,0.00,47.11,100,0
FDCE,100,0,0.00,0,0.00,11.36,100,0
JUNZ,100,0,0.00,0,0.00,27.50,100,0
KNOW,100,0,0.00,0,0.00,10.29,100,0
LOCT,100,0,0.00,0,0.00,24.02,100,0
MVFG,100,0,0.00,0,0.00,25.15,100,0
SHDG,100,0,0.00,0,0.00,25.53,100,0
VHAI+B,100,100,36.40,100,15.00,15.80,100,0
XBOC,100,0,0.00,0,0.00,28.67,100,0
TOKE,99,400,6.17,2,5.79,6.08,99,0
XTJA,92,0,0.00,0,0.00,25.35,92,0
GDMN,91,0,0.00,1,19.00,27.30,91,0
YSEP,88,0,0.00,0,0.00,21.13,88,0
GDMA,87,0,0.00,1,29.94,30.31,87,0
SUPP,87,0,0.00,0,0.00,62.17,87,0
EMDV,82,0,0.00,0,0.00,43.17,82,0
RDFI,81,0,0.00,0,0.00,22.46,81,0
SNPG,78,0,0.00,0,0.00,36.95,75,3
MAGA,77,0,0.00,8,40.00,44.62,77,0
DSCF,74,0,0.00,0,0.00,22.00,74,0
GSEP,70,0,0.00,0,0.00,32.80,70,0
TGLR,70,0,0.00,0,0.00,26.22,70,0
TDVI,69,0,0.00,0,0.00,21.73,69,0
ESG,68,18,130.00,1,100.00,122.09,68,0
PSCJ,68,0,0.00,0,0.00,24.34,68,0
XDAP,67,0,0.00,0,0.00,30.71,67,0
HOCT,64,0,0.00,0,0.00,24.14,64,0
AFIF,63,0,0.00,0,0.00,9.06,63,0
QTJA,62,0,0.00,0,0.00,22.08,62,0
TYA,60,0,0.00,1,10.69,12.35,60,0
WFIG,57,0,0.00,0,0.00,43.19,57,0
XAPR,57,0,0.00,10,30.07,30.01,57,0
GEMD,56,2,44.00,0,0.00,39.94,56,0
UFEB,56,0,0.00,0,0.00,30.40,56,0
BAMD,55,0,0.00,0,0.00,28.38,55,0
FYEE,55,0,0.00,0,0.00,24.44,54,1
DJAN,54,0,0.00,0,0.00,35.61,54,0
HAUS,54,36,19.51,0,0.00,16.69,54,0
MSTB,54,0,0.00,0,0.00,30.40,54,0
KJUL,51,0,0.00,0,0.00,27.13,51,0
PTEU,51,0,0.00,2,24.29,26.06,51,0
PWS,50,7,32.00,0,0.00,27.92,50,0
MRCP,48,0,0.00,0,0.00,25.00,0,48
HFGO,47,0,0.00,0,0.00,18.67,47,0
XDEC,43,4,35.28,0,0.00,35.09,43,0
IWMW,38,2,52.50,0,0.00,47.66,38,0
AUGZ,36,0,0.00,0,0.00,35.65,36,0
PSFM,33,0,0.00,0,0.00,26.41,33,0
MYLD,32,0,0.00,1,17.51,26.00,32,0
BWTG,30,0,0.00,0,0.00,30.34,30,0
UOCT,30,0,0.00,0,0.00,33.45,30,0
USEP,30,0,0.00,0,0.00,32.60,30,0
BAMO,29,0,0.00,0,0.00,27.77,29,0
INTL,28,0,0.00,1,21.74,22.40,28,0
VWID,28,0,0.00,0,0.00,26.77,28,0
EAOK,26,0,0.00,0,0.00,24.58,26,0
PBL,24,0,0.00,0,0.00,26.81,24,0
ESGG,23,0,0.00,0,0.00,157.53,23,0
PEX,22,0,0.00,20,27.08,29.58,22,0
IPDP,21,0,0.00,0,0.00,17.80,21,0
MSFY,18,0,0.00,1,25.00,27.42,18,0
CSM,15,0,0.00,0,0.00,58.14,15,0
XDAT,14,100,25.33,0,0.00,21.75,14,0
WBAT,13,0,0.00,10,25.79,27.22,13,0
EWUS,12,0,0.00,0,0.00,33.96,12,0
BLDG,11,0,0.00,250,22.50,23.81,11,0
MBBB,11,2,24.00,0,0.00,20.76,11,0
OEUR,11,0,0.00,1,25.00,29.31,11,0
BBEM,10,0,0.00,0,0.00,49.96,10,0
BBLB,10,0,0.00,0,0.00,84.10,10,0
IVRA,10,0,0.00,5,9.15,13.50,10,0
FBUF,9,0,0.00,0,0.00,24.52,9,0
LJAN,9,0,0.00,0,0.00,24.68,9,0
MOTE,8,2,28.95,0,0.00,25.84,8,0
FUNL,5,0,0.00,0,0.00,38.25,5,0
JANH,5,0,0.00,0,0.00,24.80,5,0
BAMY,4,0,0.00,0,0.00,26.34,4,0
RVRB,4,0,0.00,0,0.00,26.60,4,0
AAPY,3,0,0.00,1,22.77,23.28,0,3
ACSI,3,0,0.00,0,0.00,50.80,3,0
GLOV,3,2,48.09,0,0.00,45.35,3,0
SEPZ,3,0,0.00,0,0.00,34.99,3,0
ARKC,2,0,0.00,1,24.86,39.85,2,0
FDGR,2,0,0.00,0,0.00,11.48,2,0
FDHT,2,12,22.45,0,0.00,18.48,2,0
MOTG,2,0,0.00,0,0.00,35.11,2,0
NUDV,2,0,0.00,0,0.00,26.40,2,0
PSCQ,2,0,0.00,0,0.00,25.00,2,0
PSFD,2,0,0.00,0,0.00,30.11,2,0
PSFJ,2,0,0.00,0,0.00,26.42,2,0
PSMO,2,0,0.00,0,0.00,26.10,2,0
SMAY,2,0,0.00,0,0.00,22.31,2,0
UJUN,2,0,0.00,0,0.00,31.06,2,0
WUGI,2,2,64.00,160,55.00,58.62,2,0
XUSP,2,0,0.00,0,0.00,33.32,2,0
BBIP,1,0,0.00,0,0.00,97.20,1,0
CFCV,1,0,0.00,0,0.00,36.54,1,0
CVAR,1,0,0.00,0,0.00,25.01,1,0
DWCR,1,0,0.00,0,0.00,30.64,1,0
EAOA,1,0,0.00,0,0.00,32.86,0,1
GSEE,1,0,0.00,0,0.00,43.37,1,0
HYXU,1,0,0.00,20,43.00,48.26,1,0
ISVL,1,1,36.60,1,30.70,34.76,1,0
NXTI,1,0,0.00,0,0.00,25.20,1,0
NXTV,1,0,0.00,0,0.00,25.35,1,0
PSCX,1,0,0.00,0,0.00,25.28,1,0
SNPV,1,0,0.00,0,0.00,29.60,1,0
WDNA,1,0,0.00,0,0.00,15.38,1,0
XDOC,1,0,0.00,0,0.00,28.40,1,0
XIDE,1,0,0.00,0,0.00,30.28,1,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
ARLU,0,0,0.00,0,0.00,0.00,0,0
BBIB,0,0,0.00,0,0.00,0.00,0,0
BBSB,0,0,0.00,0,0.00,0.00,0,0
BHYB,0,0,0.00,0,0.00,0.00,0,0
BUYZ,0,30,31.00,0,0.00,0.00,0,0
DFHY,0,0,0.00,0,0.00,0.00,0,0
DFND,0,0,0.00,0,0.00,0.00,0,0
DFNV,0,0,0.00,0,0.00,0.00,0,0
DWAT,0,0,0.00,0,0.00,0.00,0,0
EAOM,0,2,27.46,0,0.00,0.00,0,0
EAOR,0,100,33.24,6,26.20,0.00,0,0
EGUS,0,0,0.00,0,0.00,0.00,0,0
EVUS,0,0,0.00,0,0.00,0.00,0,0
FAIL,0,0,0.00,0,0.00,0.00,0,0
FDND,0,0,0.00,0,0.00,0.00,0,0
FDTB,0,0,0.00,0,0.00,0.00,0,0
FEBP,0,0,0.00,0,0.00,0.00,0,0
FFLV,0,0,0.00,0,0.00,0.00,0,0
FLDZ,0,0,0.00,0,0.00,0.00,0,0
GCLN,0,3,36.00,1,30.19,0.00,0,0
GHEE,0,0,0.00,0,0.00,0.00,0,0
GMAY,0,0,0.00,0,0.00,0.00,0,0
GNOV,0,0,0.00,0,0.00,0.00,0,0
GOLY,0,0,0.00,0,0.00,0.00,0,0
GPOW,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
HAPR,0,0,0.00,0,0.00,0.00,0,0
HEAT,0,0,0.00,0,0.00,0.00,0,0
HIYS,0,0,0.00,0,0.00,0.00,0,0
HJAN,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
HYKE,0,0,0.00,1,27.00,0.00,0,0
IMSI,0,0,0.00,0,0.00,0.00,0,0
IPPP,0,0,0.00,0,0.00,0.00,0,0
ISDB,0,0,0.00,0,0.00,0.00,0,0
IVVM,0,0,0.00,0,0.00,0.00,0,0
JAND,0,0,0.00,0,0.00,0.00,0,0
JANP,0,0,0.00,0,0.00,0.00,0,0
JULD,0,600,25.24,0,0.00,0.00,0,0
JULJ,0,0,0.00,0,0.00,0.00,0,0
JULQ,0,0,0.00,0,0.00,0.00,0,0
LBO,0,0,0.00,0,0.00,0.00,0,0
LCF,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MAYZ,0,0,0.00,0,0.00,0.00,0,0
MBND,0,1,30.33,0,0.00,0.00,0,0
MBNE,0,0,0.00,0,0.00,0.00,0,0
MRGR,0,0,0.00,0,0.00,0.00,0,0
MSSS,0,0,0.00,0,0.00,0.00,0,0
MSTQ,0,0,0.00,0,0.00,0.00,0,0
MSVX,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
OCTD,0,0,0.00,0,0.00,0.00,0,0
OCTH,0,0,0.00,0,0.00,0.00,0,0
OCTJ,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PBFB,0,0,0.00,0,0.00,0.00,0,0
PBJA,0,0,0.00,0,0.00,0.00,0,0
PJBF,0,0,0.00,0,0.00,0.00,0,0
PJFM,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSH,0,0,0.00,0,0.00,0.00,0,0
PUTD,0,0,0.00,0,0.00,0.00,0,0
QLC,0,0,0.00,0,0.00,0.00,0,0
QTOC,0,0,0.00,0,0.00,0.00,0,0
ROIS,0,0,0.00,0,0.00,0.00,0,0
ROYA,0,0,0.00,0,0.00,0.00,0,0
RTAI,0,0,0.00,0,0.00,0.00,0,0
RYSE,0,0,0.00,0,0.00,0.00,0,0
SCLZ,0,0,0.00,0,0.00,0.00,0,0
SMI,0,1,57.40,0,0.00,0.00,0,0
SNPD,0,0,0.00,0,0.00,0.00,0,0
SPCZ,0,0,0.00,0,0.00,0.00,0,0
TYLD,0,0,0.00,0,0.00,0.00,0,0
UDEC,0,0,0.00,0,0.00,0.00,0,0
VHAI+A,0,0,0.00,0,0.00,0.00,0,0
VIRS,0,0,0.00,0,0.00,0.00,0,0
VMAX,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XAUG,0,0,0.00,0,0.00,0.00,0,0
XDJA,0,0,0.00,0,0.00,0.00,0,0
XDJL,0,0,0.00,0,0.00,0.00,0,0
XIMR,0,0,0.00,1,30.00,0.00,0,0
XJAN,0,0,0.00,0,0.00,0.00,0,0
XSEP,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
XTOC,0,0,0.00,0,0.00,0.00,0,0
