Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
KOCT,4500,0,0.00,0,0.00,27.74,4500,0
XMPT,4497,500,22.30,6,18.00,20.85,2004,2493
MBCC,4477,0,0.00,0,0.00,31.25,4477,0
FLDR,4468,20,50.12,1,49.71,49.94,4292,176
FRDM,4409,0,0.00,14,30.88,32.62,4409,0
PMAY,4391,0,0.00,0,0.00,32.64,4391,0
MLN,4371,0,0.00,0,0.00,17.72,3971,400
DMAR,4367,2,36.26,0,0.00,34.26,4367,0
GSUS,4364,2,80.00,0,0.00,69.45,4364,0
HYGW,4356,100,33.11,1,32.49,33.01,3521,835
NULV,4340,0,0.00,0,0.00,37.47,4340,0
NAPR,4248,0,0.00,0,0.00,44.65,4248,0
XJUL,4167,0,0.00,0,0.00,33.17,4167,0
EFNL,4159,24,48.95,0,0.00,35.47,4159,0
IAUF,4135,0,0.00,0,0.00,60.84,2939,1196
FYLD,4086,10,30.00,1,26.25,26.81,4086,0
SDVD,4060,0,0.00,0,0.00,21.01,4060,0
BBSA,4053,1,51.78,0,0.00,47.05,4053,0
IGRO,4005,0,0.00,0,0.00,65.63,4005,0
ENOR,3995,0,0.00,5,21.45,23.42,3995,0
OUSA,3970,400,53.00,1,46.49,47.50,3169,801
GSEW,3902,0,0.00,0,0.00,70.03,3902,0
REGL,3794,9,80.00,0,0.00,76.62,3794,0
ISPY,3792,2,42.87,100,40.50,41.27,3792,0
BALT,3743,50,29.27,10,28.92,29.08,3743,0
BBRE,3736,2,92.00,50,77.73,83.07,3736,0
EMHY,3684,3,37.89,200,35.65,36.83,3684,0
PSFF,3661,0,0.00,0,0.00,26.73,3661,0
NUEM,3557,0,0.00,0,0.00,27.04,3557,0
FBCV,3555,0,0.00,0,0.00,30.30,3055,500
ZALT,3552,0,0.00,0,0.00,27.17,3552,0
ACIO,3310,0,0.00,0,0.00,35.24,3310,0
PTMC,3302,0,0.00,0,0.00,34.31,3302,0
GMOM,3270,2,30.84,0,0.00,28.48,3270,0
HEEM,3219,0,0.00,0,0.00,25.57,3219,0
XBAP,3132,0,0.00,0,0.00,30.66,3132,0
RPHS,3075,0,0.00,0,0.00,9.38,3075,0
QTAP,3011,0,0.00,0,0.00,31.63,3011,0
PSCW,3000,0,0.00,0,0.00,23.40,3000,0
PJUN,2975,0,0.00,0,0.00,34.59,2975,0
IGEB,2974,1,57.05,0,0.00,43.58,2974,0
ZECP,2973,0,0.00,0,0.00,27.29,2973,0
JPLD,2868,0,0.00,0,0.00,50.67,2868,0
DDWM,2833,100,36.00,0,0.00,33.86,2743,90
XJR,2802,0,0.00,0,0.00,37.40,2802,0
QMAR,2793,0,0.00,0,0.00,25.91,2793,0
BAPR,2752,0,0.00,0,0.00,39.13,2752,0
EMGF,2721,1,48.61,0,0.00,44.22,2721,0
JULZ,2702,0,0.00,0,0.00,38.05,2702,0
NUMV,2651,0,0.00,0,0.00,32.76,2450,201
FLIA,2640,0,0.00,0,0.00,20.00,2640,0
QDTE,2634,100,56.27,2,43.14,43.14,2634,0
FLQL,2596,3,56.00,1,45.89,51.08,2511,85
BUSA,2564,0,0.00,0,0.00,29.97,2564,0
TMFS,2543,60,31.89,4,25.00,29.78,2542,1
BAMV,2494,0,0.00,0,0.00,29.38,2094,400
QPFF,2489,1,38.96,0,0.00,36.09,2489,0
GDE,2454,0,0.00,0,0.00,31.66,2454,0
DUSA,2443,0,0.00,0,0.00,39.54,2443,0
BAMG,2395,0,0.00,0,0.00,28.79,2395,0
MSFX,2384,400,26.87,40,26.20,26.73,2384,0
YMAR,2360,0,0.00,0,0.00,22.81,1160,1200
IETC,2350,450,71.00,20,63.00,67.12,2350,0
FCLD,2337,10,28.00,50,20.80,23.81,2337,0
NETZ,2332,100,68.59,201,66.40,67.83,2332,0
STOT,2313,1,52.50,0,0.00,46.70,2313,0
GJAN,2302,0,0.00,0,0.00,35.55,2302,0
SMMD,2288,2,69.00,5,49.58,61.87,2288,0
AAPX,2275,600,19.78,662,19.46,19.67,2275,0
IBHG,2226,870,23.30,4,21.86,21.96,2226,0
ZIVB,2204,0,0.00,10,20.82,22.82,1204,1000
TDV,2168,0,0.00,1,65.00,69.36,2168,0
AAPR,2166,0,0.00,0,0.00,24.47,2166,0
OMFS,2152,0,0.00,0,0.00,35.98,2152,0
