Date,Open,High,Low,Close,Adj Close,Volume
2022-03-30,763.0,812.5,741.9500122070312,767.5,767.5,4692
2022-03-31,778.0,847.0,772.5,843.0,843.0,5640
2022-04-01,811.5,849.2999877929688,780.0,782.25,782.25,5478
2022-04-04,771.5,782.5,702.5,712.0,712.0,7498
2022-04-05,720.5,819.5,710.25,819.5,819.5,6728
2022-04-06,870.0,947.0,842.5,852.5,852.5,10118
2022-04-07,867.5,899.5,793.0,814.5,814.5,7896
2022-04-08,825.5,843.5,762.0,808.5,808.5,6690
2022-04-11,838.0,896.5,820.0,894.0,894.0,8060
2022-04-12,856.0,917.0,812.0,887.5,887.5,18854
2022-04-13,919.0,919.0,781.0,789.0,789.0,10742
2022-04-14,763.5,829.0,739.0,827.0,827.0,13634
2022-04-18,838.0,840.5,785.0,806.5,806.5,12574
2022-04-19,793.0,807.5,705.0,723.5,723.5,12494
2022-04-20,697.0,725.0,678.0,688.0,688.0,13626
2022-04-21,661.5,815.7000122070312,660.0,793.5,793.5,17030
2022-04-22,795.0,1000.0,784.0,988.5,988.5,31882
2022-04-25,1038.0,1104.449951171875,928.5,940.8499755859375,940.8499755859375,31668
2022-04-26,980.0,1150.0,974.25,1150.0,1150.0,65560
2022-04-27,1144.0,1192.0,1048.5,1182.5,1182.5,46166
2022-04-28,1061.5,1128.0,964.0,1076.0,1076.0,31220
2022-04-29,1096.5,1240.0,1029.0,1218.5,1218.5,31464
2022-05-02,1238.0,1360.5,1177.5,1208.5,1208.5,43224
2022-05-03,1153.0,1178.25,1044.5,1045.5,1045.5,22584
2022-05-04,1020.5,1051.5,842.5,847.5,847.5,17906
2022-05-05,900.5,1202.5,888.0,1165.0,1165.0,44732
2022-05-06,1192.5,1321.5,1118.0,1127.0,1127.0,57714
2022-05-09,1225.0,1331.5,1203.0,1308.050048828125,1308.050048828125,36448
2022-05-10,1178.5,1319.5,1168.5,1217.5,1217.5,29320
2022-05-11,1229.0,1255.0,1097.0,1199.0,1199.0,24596
2022-05-12,1242.5,1293.5,1146.4000244140625,1156.0,1156.0,18656
2022-05-13,1075.0,1096.0,1005.0,1005.0,1005.0,18734
2022-05-16,1000.0,1011.5,925.0,925.0,925.0,16194
2022-05-17,871.5,914.0999755859375,854.0,881.0,881.0,24438
2022-05-18,923.0,1144.0,905.5,1129.5,1129.5,81370
2022-05-19,1187.0,1187.5,982.5,994.0,994.0,55466
2022-05-20,923.0,1142.0,918.5,995.5,995.5,86878
2022-05-23,958.0,1026.0,933.5,961.0,961.0,37134
2022-05-24,1002.0,1065.0,962.5,977.0,977.0,51994
2022-05-25,1013.0,1013.0,913.5,934.0,934.0,23670
2022-05-26,917.5,921.5,888.5,914.5,914.5,17972
2022-05-27,873.0,884.5,843.0,847.0,847.0,22326
2022-05-31,876.0,917.5,805.5,819.5,819.5,47718
2022-06-01,797.5,889.5,778.0,801.5,801.5,49898
2022-06-02,812.0,819.0,743.5,773.0,773.0,41452
2022-06-03,798.0,820.0,775.0,787.0,787.0,40586
2022-06-06,755.5,789.5,746.6500244140625,763.0,763.0,31926
2022-06-07,806.0,806.0,721.5,726.5,726.5,39004
2022-06-08,742.0,756.5,714.5,721.0,721.0,30462
2022-06-09,746.5,798.0,724.2000122070312,793.0,793.0,50266
2022-06-10,853.0,924.0,840.0,870.0,870.0,124022
2022-06-13,1029.5,1153.0,1008.5,1127.0,1127.0,133224
2022-06-14,1110.0,1141.0,1035.5,1060.5,1060.5,63664
2022-06-15,1005.5,1016.0,868.5,939.0,939.0,89938
2022-06-16,1035.0,1108.25,1015.5,1052.0,1052.0,102354
2022-06-17,1045.0,1079.5,967.5,992.5,992.5,48826
2022-06-21,918.5,955.5,881.4500122070312,951.5,951.5,43358
2022-06-22,985.0,991.0,873.0,885.0,885.0,49838
2022-06-23,867.5,921.0,860.0,877.0,877.0,58568
2022-06-24,843.5,847.0,817.0,844.5,844.5,47982
2022-06-27,829.0,848.0,785.5,789.5,789.5,52026
2022-06-28,772.0,849.5,758.5,836.5,836.5,97188
2022-06-29,847.0,878.0,821.0,843.5,843.5,62694
2022-06-30,877.5,921.5,843.0,854.0,854.0,88582
2022-07-01,871.5,903.0,804.0,812.0,812.0,68690
2022-07-05,871.5,903.75,805.0,813.0,813.0,75622
2022-07-06,815.5,837.5,775.5,785.5,785.5,63440
2022-07-07,775.0,777.5,744.5,767.0,767.0,69188
2022-07-08,771.5,771.5,723.5,733.0,733.0,90594
2022-07-11,758.5,786.0,747.5,773.5,773.5,80002
2022-07-12,776.0,806.0,743.5,799.5,799.5,84868
2022-07-13,831.0,835.0,750.5,767.0,767.0,94124
2022-07-14,812.5,836.5,763.5,770.5,770.5,94402
2022-07-15,737.5,746.4500122070312,688.5,693.0,693.0,141336
2022-07-18,684.5,741.5,671.5,730.5,730.5,83536
2022-07-19,700.0,711.5,681.0,711.5,711.5,79822
2022-07-20,698.5,708.0,669.75,675.0,675.0,93788
2022-07-21,675.0,694.5,642.5,646.5,646.5,90370
2022-07-22,642.5,674.5,629.8499755859375,636.5,636.5,112500
2022-07-25,635.0,643.0,611.0,625.5,625.5,88464
2022-07-26,636.25,670.5,631.0,652.0,652.0,91788
2022-07-27,619.5,623.0,583.5,608.5,608.5,105254
2022-07-28,594.5,610.0,547.0,551.0,551.0,100050
2022-07-29,539.0,553.0,528.5,536.5,536.5,72038
2022-08-01,555.0,576.0,539.0,572.5,572.5,70238
2022-08-02,586.5,609.0,546.5,587.0,587.0,92046
2022-08-03,560.0,565.0,520.5,525.5,525.5,94514
2022-08-04,536.0,553.25,529.0,530.0,530.0,46260
2022-08-05,562.5,562.5,502.5,505.0,505.0,98886
2022-08-08,502.0,525.0,479.5,509.5,509.5,87274
2022-08-09,520.0,531.0,505.25,516.0,516.0,62662
2022-08-10,478.0,483.5,452.5,456.0,456.0,86176
2022-08-11,454.5,481.5,447.0,464.0,464.0,101844
2022-08-12,457.0,461.0,432.0,451.5,451.5,95298
2022-08-15,463.5,464.0,433.0,439.0,439.0,90070
2022-08-16,440.0,453.5,434.0,444.5,444.5,78790
2022-08-17,452.0,463.5,429.75,440.5,440.5,134994
2022-08-18,442.0,448.5,425.5,428.5,428.5,69974
2022-08-19,445.0,484.70001220703125,442.0,467.5,467.5,187626
2022-08-22,511.5,534.5,497.5,527.5,527.5,133758
2022-08-23,524.0,529.9000244140625,494.5,512.5,512.5,92544
2022-08-24,504.0,508.0,471.0,475.0,475.0,95442
2022-08-25,468.5,476.5,443.5,448.0,448.0,86098
2022-08-26,452.0,539.0,443.5,534.5,534.5,184162
2022-08-29,549.0,556.0,516.5,527.5,527.5,136550
2022-08-30,518.5,563.0,515.5,545.5,545.5,132642
2022-08-31,520.0,539.0,505.5,522.0,522.0,95970
2022-09-01,541.5,568.5,510.5,515.5,515.5,145648
2022-09-02,480.0,539.0,466.5,524.5,524.5,129882
2022-09-06,502.5,551.5,498.0,548.0,548.0,123870
2022-09-07,551.0,551.0,485.0,488.5,488.5,96862
2022-09-08,506.0,510.54998779296875,472.5,473.5,473.5,108664
2022-09-09,457.0,462.0,446.5,460.5,460.5,113784
2022-09-12,445.5,469.0,437.5,457.5,457.5,97570
2022-09-13,495.5,553.0,484.0,536.5,536.5,215092
2022-09-14,535.0,554.0,522.5,535.5,535.5,131124
2022-09-15,537.0,541.0,506.0,531.5,531.5,108762
2022-09-16,558.0,584.5,523.5,527.5,527.5,146592
2022-09-19,549.5,550.5,490.5,500.5,500.5,132970
